id,name,summary,organizer,start_date,url,is_online_event
261157879247,Annual Ghana Land Conference 2022,Theme: Leveraging Policy  Legislation  and Institutional Capacity towards Land Sector Transformation in Ghana.,40894168293,2022-08-22,https://www.eventbrite.com/e/annual-ghana-land-conference-2022-tickets-261157879247,false
190592566497,Business Bootcamp and Networking  Ghana Business Tour,Business Bootcamp & Networking   Ghana Business Tour,36095742803,2022-08-31,https://www.eventbrite.com/e/business-bootcamp-and-networking-ghana-business-tour-tickets-190592566497,false
313676052517,AFRICA ENERGY AND INFRASTRUCTURE FORUM & AWARD  ACCRA-GHANA 2022,Theme: Building the Sustainable Future of the African Energy Industry,44725189023,2022-07-30,https://www.eventbrite.co.uk/e/africa-energy-and-infrastructure-forum-award-accra-ghana-2022-tickets-313676052517,false
151451422281,Improve Your Speaking Skills with Toastmasters | Busy Speakers TM Club,Are you scared of public speaking? Do you want to be a better communicator and leader?  If so  Toastmasters is the place for you.,17564543122,2022-07-24,https://www.eventbrite.com/e/improve-your-speaking-skills-with-toastmasters-busy-speakers-tm-club-tickets-151451422281,false
315207142047,Global Sourcing Accra 2022,"Africa's Premier International Sourcing Show",44877900573,2022-07-26,https://www.eventbrite.com/e/global-sourcing-accra-2022-tickets-315207142047,false
315416548387,Global Teacher Training Workshop,Master the Art of Innovative Teaching for 21st century education.,44896288393,2022-07-23,https://www.eventbrite.co.uk/e/global-teacher-training-workshop-registration-315416548387,false
353836714137,Make We Dance,An exhibition of works by Cecilia Lamptey - Botchway,30715872492,2022-07-21,https://www.eventbrite.com/e/make-we-dance-tickets-353836714137,false
336314915967,West Africa Workshop: Countering Terrorism & Violent Extremism Online,West Africa Workshop on Countering Terrorism and Violent Extremism Online,14489445068,2022-09-07,https://www.eventbrite.co.uk/e/west-africa-workshop-countering-terrorism-violent-extremism-online-tickets-336314915967,false
325299669067,Break Every Chain Empowerment Conference - Prayer Boot Camp,Join Rev. Dr. Eric Owusu Asemanyi  as he host Kingdom Empowerment  Inc.'s  Break Every Chain Empowerment Conference Prayer Boot Camp,18480175998,2022-08-12,https://www.eventbrite.com/e/break-every-chain-empowerment-conference-prayer-boot-camp-tickets-325299669067,false
271285250487,Accra City Tour,As a guide with years of experience and one of the best Accra city tour guides  I designed this tour help you explore Accra,41720754173,2022-07-21,https://www.eventbrite.com/e/accra-city-tour-tickets-271285250487,false
322324399957,AFRICA REAL ESTATE CONFERENCE & EXPO 2022,The shifting dynamics  trends and demand for real estate in Africa calls for the development of sustainable real estate markets,8986255523,2022-08-23,https://www.eventbrite.com/e/africa-real-estate-conference-expo-2022-tickets-322324399957,false
335979903937,STUDY ABROAD EDUCATION EXPO ACCRA 2022,Do you dream of studying abroad and experiencing a new culture?,18798142290,2022-10-03,https://www.eventbrite.com/e/study-abroad-education-expo-accra-2022-tickets-335979903937,false
112090411438,YOUNG OLIVETS SUNDAY SERVICE,Our return to physical service is going to be epic. We have a lot of things planned to excite and keep you coming back every Sunday for more,30628074176,2022-07-24,https://www.eventbrite.com/e/young-olivets-sunday-service-tickets-112090411438,false
